id,kind,text,status,weight,until,source,added,note,ok,no,checked
f1,факт,Реплаи в Threads: API принимает reply_to_id,проверено,5,,живой тест 05.08.2026,2026-08-06,,,,
p1,предпочтение,Посты без ссылок в финальном тексте,со-слов,5,,владелец,2026-08-06,,,,
r1,правило,"Не длинные тире, вместо них двоеточие",со-слов,5,,владелец,2026-08-06,,,0,
o1,наблюдение,Личный заход в крючке заходит лучше объяснительного,опровергнуто,2,,"7 постов, мало данных",2026-08-06,проверили на большем числе постов,,,
p2,предпочтение,Комментарий под постом расширяет контекст,со-слов,4,2026-09-05,владелец,2026-08-06,,,,
r2,правило,"Карточка черновика должна сразу объяснять суть новости: что произошло, почему это важно, что именно будет в посте; недостаточно общего названия или расплывчатого описания. Перед показом владельцу проверять ясность формулировки.",со-слов,5,,владелец,2026-08-18,,0,0,
r3,правило,"Для новостных постов владельцу больше нравится подача с конкретным действием, конфликтом и ясным выводом вместо абстрактных рассуждений; эталон — вариант поста об уязвимости Quake CD от 18.08.2026.",со-слов,5,,владелец,2026-08-18,,0,0,
r4,правило,"Обложки для публикаций не должны содержать читаемого текста, букв, логотипов или водяных знаков.",со-слов,5,,владелец,2026-08-18,,0,0,
r5,правило,"В промптах для простых моделей генерации обложек не упоминать слово «текст» даже в запрете: модель может воспринять его как указание. Описывать только желаемый визуальный сюжет и исключать слова, буквы, логотипы и водяные знаки без использования слова «текст».",со-слов,5,,владелец,2026-08-18,,0,0,
f2,факт,"Утренний отчёт Threads не использует embedding-модель: systemd запускает agent через eve/client, а 23.08 в usage за 10:00 Омск зафиксирован provider=codex, model=gpt-5.6-terra, 16 вызовов. Embeddings используются отдельно для индекса памяти, не для сводки метрик.",проверено,4,,владелец,2026-08-23,,0,0,
r6,правило,"При выпуске поста в Threads по статье: основной пост содержит авторский текст-анонс статьи без внешней ссылки; ссылка на статью всегда публикуется отдельным первым комментарием через reply-to. Правило владельца, 2026-08-23.",со-слов,5,,владелец,2026-08-23,,0,0,
