id,date,domain,action,context,expected,result,metric,closed,note,tag
d1,2026-08-06,постинг,публиковать новость тредом: пост плюс комментарий под ним,"новость про Mistral, личный заход, скриншот источника",отклик выше среднего 1.08%,,,,,
d2,2026-08-06,разработка,заменить git rebase на squash при обновлении,"14 локальных коммитов, конфликт возвращался каждое обновление",обновление перестанет падать,хорошо,,2026-08-06,обновление прошло с первого раза 5 августа,
d3,2026-08-06,постинг,"пост: Показательно, куда уходит Дин: он сооснователь Discovery Loop — компан","threads, 270 знаков, без картинки, час 4",отклик не ниже среднего,,,,,сводка
d4,2026-08-06,постинг,пост: Google DeepMind осталась без двух главных имён: Хассабис уходит с пост,"threads, 307 знаков, с картинкой, час 4",отклик не ниже среднего,нейтрально,0.72%,2026-08-06,,сводка
d5,2026-08-06,постинг,"пост: Агентов строят быстрее, чем учатся их проверять. Сервис iFixAI за две","threads, 334 знаков, с картинкой, час 4",отклик не ниже среднего,плохо,0.00%,2026-08-06,,сводка
d6,2026-08-06,постинг,пост: На прошлой неделе Xbox лёг на несколько часов. И выяснилось: даже игры,"threads, 491 знаков, с картинкой, час 13",отклик не ниже среднего,нейтрально,1.38%,2026-08-06,,сводка
d7,2026-08-06,постинг,пост: Фантаст 76 лет назад написал «4 августа 2026» как дату вымышленного бу,"threads, 420 знаков, с картинкой, час 13",отклик не ниже среднего,плохо,0.00%,2026-08-06,,сводка
d8,2026-08-06,постинг,пост: Apple судится с OpenAI из-за «коммерческих секретов» бывшего сотрудник,"threads, 498 знаков, без картинки, час 19",отклик не ниже среднего,плохо,0.43%,2026-08-06,,сводка
d9,2026-08-06,постинг,"пост: Наткнулся на проект, который строит знания для ИИ-агентов не в виде до","threads, 497 знаков, с картинкой, час 8",отклик не ниже среднего,хорошо,3.62%,2026-08-06,,личный
d10,2026-08-06,постинг,"пост: Модель на 2,78 трлн параметров запустили на ноутбуке","threads, 414 знаков, без картинки, час 6",отклик не ниже среднего,нейтрально,0.64%,2026-08-06,,личный
d11,2026-08-06,постинг,пост: Как ИИ придумал критические уязвимости в SQLite,"threads, 449 знаков, без картинки, час 6",отклик не ниже среднего,плохо,0.00%,2026-08-06,,сводка
d12,2026-08-06,постинг,"пост: Qwen3.8-Max: дёшево попробовать, дорого использовать","threads, 449 знаков, без картинки, час 6",отклик не ниже среднего,хорошо,1.56%,2026-08-06,,сводка
d13,2026-08-06,постинг,пост: OpenAI обновила GPT-5.6 Sol для Plus и Pro: модель «надёжнее с фактами,"threads, 420 знаков, с картинкой, час 18",отклик не ниже среднего,,,,,сводка
d14,2026-08-06,постинг,пост: OpenAI снимает лимиты: со следующей недели бесплатный тариф и Go получ,"threads, 437 знаков, с картинкой, час 18",отклик не ниже среднего,,,,,сводка
d18,2026-08-06,постинг,"пост: Агентов строят быстрее, чем учатся их проверять. Сервис iFixAI за две","threads, 334 знаков, с картинкой, час 4",отклик не ниже среднего,плохо,0.00%,2026-08-06,,сводка
d19,2026-08-25,постинг,Перестроить новостной отбор на source-first: мониторинг известных авторов и первоисточников вместо случайной общей ленты,Текущие случайно выбранные новости не набирают аудиторию; задача сейчас — рост аудитории.,"Больше актуальных и уже подтверждённо интересных тем, более быстрый выпуск и рост охвата.",,,,,
